,Bacteria,Chemicals,Bacteria_counts,Correlation,Importance_random_forest,CV_random_forest,R_squared_random_forest,Importance_xgboost,CV_xgboost,R_squared_xgboost,Importance_decision_tree,CV_decision_tree,R_squared_decision_tree
18,{Unknown Order} MB-A2-108,Sb,1378,-0.1159727415217022,0.22311301646415393,-0.3040443961704409,0.2413331663252377,1.0317738755710228,-703.8061466165324,0.09826053002253643,2.0247151070289346,-889.0410940346352,-1.0749538352358776
19,{Unknown Family} SJA-22,Sb,787,-0.2732294194848414,0.3192409213781796,-0.12172698256847503,0.5502722985595723,1.1033639085800013,-15.788973125624683,0.6900490448197834,1.0656619197108725,-32.75679642495054,0.6467530825594245
20,{Unknown Family} S0208,Acenaften,273,-0.3312189226856166,0.3872848213975678,-0.2077060876550787,0.3586040757004465,2.0440723678214296,-1099.2537462533232,-0.8941191015599712,1.0451560720870292,-47.12223208921299,0.5154960583371676
21,{Unknown Order} C0119,Sb,250,-0.27336516404103817,0.4153513067314598,0.12212499739909577,0.5927330372330071,1.2989265742816896,-1.0986262566013163,0.8854726309058838,1.4521140824653127,-1.4097445872386405,0.8150850110937675
22,{Unknown Family} GIF9,Acenaften,214,0.17096094218666374,0.2744701434624176,-0.12884199235299576,0.5430900408278707,1.1611536878996205,-1.007342862851807,0.9846804929578298,1.123725690993243,-2.4684142935088076,0.4214295754143952
23,{Unknown Family} SM2F09,Naftalen,139,-0.2315044011555443,0.24666357569477526,-0.19208336881210086,0.32885969860409037,1.026138014805651,-532.4802157504139,-0.026134253935358842,1.0337698915645683,-0.14143038463660945,0.4827999208227346
24,Ulvophyceae,Ni,109,0.11122245575160802,0.3435122452267674,-0.09940383893627946,0.2635806026626796,1.2313418440749864,-40.97962390017926,-0.10235476029297863,1.3138097712279375,-41.16687795969344,0.6423139469759847
25,Ulvophyceae,Naftalen,109,-0.29925862645518697,0.302605386207627,-0.09940383893627946,0.2635806026626796,1.336174160107824,-40.97962390017926,-0.10235476029297863,1.4101904896860262,-41.16687795969344,0.6423139469759847
26,Christensenellaceae,Ga,51,-0.4222225616322596,0.25694322401179215,-0.03422331557640068,0.538828653477259,1.5437554487387302,-2.1301970210066963,0.8230969756841287,0.9931385196402867,-1.2336736943673672,0.5692411240114421
27,{Unknown Order} Gemm-2,Ga,43,0.5338652121303564,0.2670166243432509,-0.152190624515262,0.5727246287669707,1.4447021726129843,-0.3353958446171193,0.9968760944777728,1.6761245864733905,-1.2961053057586671,0.8003541572293374
28,{Unknown Class} OD1,Sb,24,0.18371101896069575,0.2134606969485937,-0.20867575697794405,0.3055085482125458,1.0872616922729237,-22.814543914043767,0.7869730367246928,0.9245283018867925,-7.73583333333333,-0.44339622641509435
29,Kiloniellaceae,Sb,10,0.12061647674363318,0.2127978052211128,-0.17692077352387048,0.45232382164961626,1.1237827426778833,-1.3350012531566509,0.8171444918112223,0.9874371859296481,-0.6449494949494949,-0.5301507537688441
30,Bradyrhizobiaceae,Sb,10,0.3866271530931919,0.32246617393118093,-0.1355621744559321,0.36049725425347023,1.3907863745937015,-0.7664706551498556,-0.15978846087635445,0.9088960342979636,-0.7738888888888888,0.5198285101822079
31,Acetobacteraceae,B,8,-0.35108080659707597,0.24174705515810657,-0.1993739000623791,0.3456970623212381,1.50974997362042,-0.3126540364437937,0.39802103145578827,0.9600000000000001,0.3700000000000001,0.5399999999999999
32,Rickettsiaceae,Sb,8,-0.15715967559722596,0.35001676547337635,-0.19794779482140923,0.5180493211987485,1.999436940820352,-0.11329764221660077,0.999999913335601,1.0,-0.13333333333333322,-0.5
33,{Unknown Family} A21b,Sb,8,0.17933952355593694,0.19731714602266937,-0.21458691489245107,0.31075577274675714,1.6158432894753552,-0.07500186298447957,-0.14870672496073212,0.9473684210526315,-0.9233333333333331,-0.4736842105263157
34,Alcaligenaceae,"['Fe', 'Al', 'Cr', 'Mn']",7,0.4629187376964429,0.29930564260112635,-0.2169068534667138,0.27376507234291547,2.063858689002109,-0.03333333333333335,-0.032159229174884896,1.032258064516129,0.16666666666666666,-0.5483870967741935
35,Alcaligenaceae,"['Se', 'Mo']",7,-0.19150955400545916,0.30389181771633367,-0.2169068534667138,0.27376507234291547,2.063858689002109,-0.03333333333333335,-0.032159229174884896,1.032258064516129,0.16666666666666666,-0.5483870967741935
36,Alcaligenaceae,"['Fluoren', 'Fluoranten']",7,-0.0619938156237156,0.31295848438300045,-0.2169068534667138,0.27376507234291547,1.0321591495321152,-0.03333333333333335,-0.032159229174884896,1.032258064516129,0.16666666666666666,-0.5483870967741935
37,Alcaligenaceae,pH,7,0.22326876426732803,0.30106048131080376,-0.2169068534667138,0.27376507234291547,1.0321591495321152,-0.03333333333333335,-0.032159229174884896,1.032258064516129,0.16666666666666666,-0.5483870967741935
38,Alcaligenaceae,TOC,7,0.004353405789968702,0.31952364567332303,-0.2169068534667138,0.27376507234291547,1.0321591495321152,-0.03333333333333335,-0.032159229174884896,1.032258064516129,0.16666666666666666,-0.5483870967741935
39,Alcaligenaceae,B,7,-0.11656333673516865,0.31295848438300045,-0.2169068534667138,0.27376507234291547,1.0321591495321152,-0.03333333333333335,-0.032159229174884896,1.032258064516129,0.16666666666666666,-0.5483870967741935
40,Alcaligenaceae,Ni,7,-0.1294463712942608,0.31295848438300045,-0.2169068534667138,0.27376507234291547,1.0321591495321152,-0.03333333333333335,-0.032159229174884896,1.032258064516129,0.16666666666666666,-0.5483870967741935
41,Alcaligenaceae,Ga,7,0.008494891328430216,0.31295848438300045,-0.2169068534667138,0.27376507234291547,1.0321591495321152,-0.03333333333333335,-0.032159229174884896,1.032258064516129,0.16666666666666666,-0.5483870967741935
42,Alcaligenaceae,Sb,7,-0.07402363427868942,0.31295848438300045,-0.2169068534667138,0.27376507234291547,1.0321591495321152,-0.03333333333333335,-0.032159229174884896,1.032258064516129,0.16666666666666666,-0.5483870967741935
43,Alcaligenaceae,Ba,7,-0.137772537733326,0.31295848438300045,-0.2169068534667138,0.27376507234291547,1.0321591495321152,-0.03333333333333335,-0.032159229174884896,1.032258064516129,0.16666666666666666,-0.5483870967741935
44,Alcaligenaceae,Naftalen,7,-0.1676017920471682,0.31295848438300045,-0.2169068534667138,0.27376507234291547,1.0321591495321152,-0.03333333333333335,-0.032159229174884896,1.032258064516129,0.16666666666666666,-0.5483870967741935
45,Alcaligenaceae,Acenaften,7,-0.24209049347840841,0.32232696364567304,-0.2169068534667138,0.27376507234291547,1.0321591495321152,-0.03333333333333335,-0.032159229174884896,1.032258064516129,0.16666666666666666,-0.5483870967741935
46,Bdellovibrionaceae,B,6,-0.13100171085597156,0.22015274261404982,-0.32115683546247853,0.41807908269429483,1.1142646001723078,-0.8502579361949543,0.5505606552538667,0.9014084507042255,-0.38583333333333314,0.4741784037558685
47,{Unknown Family} NKB15,Sb,4,0.02815890181805044,0.4066970699337219,-0.255733791363951,0.3236547770481564,1.036385971181197,-0.3063266815262386,0.2566022187350432,1.0666666666666669,-0.1316666666666666,-0.6000000000000001
48,{Unknown Family} Chromatiales,B,4,-0.13124684099936298,0.21536059232384308,-0.2645866289678971,0.39924511520954065,1.0000246911531416,-0.07330730751479782,0.9951963950146901,1.0666666666666669,0.32666666666666677,-0.6000000000000001
49,{Unknown Order} TM7-3,"['Se', 'Mo']",2,-0.04554602660539135,0.22488925879854926,-0.22008426950358562,0.2822347639378977,1.090670481138095,-0.039999999999999994,-0.1414514761634127,1.032258064516129,0.16,-0.5483870967741935
50,{Unknown Order} TM7-3,pH,2,-0.04584983551918338,0.2123965848058753,-0.22008426950358562,0.2822347639378977,1.19260350575341,-0.039999999999999994,-0.1414514761634127,1.032258064516129,0.16,-0.5483870967741935
51,{Unknown Order} TM7-3,Sb,2,0.21136405042739204,0.2911727422684841,-0.22008426950358562,0.2822347639378977,1.1691308462502683,-0.039999999999999994,-0.1414514761634127,1.032258064516129,0.16,-0.5483870967741935
52,[Cerasicoccaceae],B,2,0.3806585320806072,0.19976659498207894,-0.08306661110636404,0.4573809311887199,2.063068687622886,-0.039999999999999945,-1.0630691791703115,1.032258064516129,0.56,0.4838709677419355
